REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10462;1;2;1;1;1;1;1;4;4;TR1;4175.118809
2023;10463;1;2;1;1;1;1;1;5;2;TR1;5376.14927
2023;10464;1;2;2;2;1;2;1;5;1;TR1;4598.714037
2023;10466;1;2;2;2;1;1;1;4;3;TR1;4309.411486
2023;10468;1;2;1;2;1;1;1;5;3;TR1;4362.911346
2023;10469;1;2;2;2;1;2;1;1;3;TR1;4117.812883
2023;10471;1;2;1;2;1;1;1;5;2;TR1;3112.245152
2023;10472;1;2;2;2;1;2;1;2;1;TR1;4107.325497
2023;10473;1;1;1;1;1;1;1;5;1;TR1;4398.830348
2023;10474;1;2;2;1;1;2;1;5;4;TR1;4346.127306
2023;10475;1;1;1;1;1;1;1;4;1;TR1;4896.837443
2023;10476;1;2;1;2;1;1;1;5;4;TR1;3108.600001
2023;10477;1;2;1;1;1;2;1;5;1;TR1;4107.325497
2023;10478;1;2;1;1;1;1;1;3;1;TR1;3813.250493
2023;10479;1;1;1;1;1;1;1;2;2;TR1;4041.488826
